category,target,people,title,shares,current,location,date
  Memorials, of $25k goal,67,Tela Williams Funeral  Expense Fund, 196,"4,070","
                        ,  SMYRNA, TN                    ","Created August 15, 2016"
  Memorials, of $10k goal,68,Craig Fletcher-Cooks Family Support, 322,"1,730","
                        ,  OAKLAND, CA                    ","Created August 16, 2016"
  Animals, of $10k goal,15,Surgery for Bella, 77,775,"
                        ,  GAINESVILLE, FL                    ","Created August 15, 2016"
,,,Back the Pacer,,,,
,,,SirHoonsalot's War Waggin Fund,,,,
  Animals," of $6,000 goal",35,Alex's Successor Service Dog , 156,"3,107","
                        ,  PEORIA, AZ                    ","Created August 9, 2016"
  Sports," of $2,200 goal",16,Izzo's Ironman Hawaii Fund, 124,585,"
                        ,  LAKE PLACID, NY                    ","Created August 6, 2016"
,,,CHEER Seattle,,,,
  Sports," of $1,650 goal",12,CANA National Netball Championships, 147,320,"
                        ,  Derwent Park, TAS                    ","Created August 11, 2016"
  Medical," of $5,000 goal",59,John Sesto's Recovery, 665,"4,550","
                        ,  Costerfield, VIC                    ","Created August 16, 2016"
  Emergencies, of $20k goal,86,Renick's Louisiana Flood Funding, 477,"7,525","
                        ,  BATON ROUGE, LA                    ","Created August 14, 2016"
  Emergencies, of $10k goal,43,Help Rutland Recover, 336,"2,602","
                        ,  YOUNGSVILLE, LA                    ","Created August 15, 2016"
  Memorials," of $5,000 goal",49,Jeremy Decker's Family Fund, 308,"3,975","
                        ,  TULSA, OK                    ","Created August 15, 2016"
,,,Ashley's Road to Nationals,,,,
  Memorials, of $15k goal,93,In loving memory of Jorge Carrasco , 528,"6,214","
                        ,  MIAMI, FL                    ","Created August 13, 2016"
  Education, of $430 goal,17,Mrs. Brown's Ticket to Read, 29,430,"
                        ,  CHANDLER, AZ                    ","Created August 6, 2016"
  Emergencies, of $100k goal,84,Andie Kolb - Rebuilding from Floods, 119,"34,169","
                        ,  NEW YORK, NY                    ","Created August 14, 2016"
  Education," of $1,000 goal",8,Elisabeth Jones' 2nd Grade Class, 91,350,"
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Sports," of $1,200 goal",4,Disc Golf Sponsorship, 35,120,"
                        ,  LEVITTOWN, PA                    ","Created August 15, 2016"
,,,Tylers Softball Fundraiser Giveaway,,,,
  Education," of $4,000 goal",24,Ben's Classroom Seats/Science Fund, 257,720,"
                        ,  FLORISSANT, MO                    ","Created August 12, 2016"
,,,Leslie Sobota's ALS Fund,,,,
  Charity, of $50k goal,53,Crossing Australia, 527,"9,257","
                        ,  Geraldton, WA                    ","Created July 21, 2016"
  Charity, of $225k goal,8,EOCC Building Fund, 26,795,"
                        ,  WIMAUMA, FL                    ","Created August 7, 2016"
  Memorials, of $10k goal,73,Funeral Expenses, 211,"5,610","
                        ,  CLEARFIELD, UT                    ","Created August 14, 2016"
  Charity, of $39.5k goal,17,Taylor & Austin's Farmer Fellowship, 63,"4,541","
                        ,  PORTSMOUTH, NH                    ","Created August 12, 2016"
,,,PLS HELP to finish our dog sactuary,,,,
  Charity," of $3,000 goal",6,Affirm Conference for OUR sisters, 26,375,"
                        ,  METUCHEN, NJ                    ","Created August 15, 2016"
  Charity, of £500 goal,6,Organ donation running vests, 47,70,"
                        ,  Western Park Ward, ENG                    ","Created August 16, 2016"
  Charity," of $5,000 goal",7,North Texas Ducks Youth Athletics, 163,455,"
                        ,  MCKINNEY, TX                    ","Created August 12, 2016"
  Medical," of $1,200 goal",58,Kathy Sussman's Welcome Home Garden, 107,"2,365","
                        ,  MONTARA, CA                    ","Created August 16, 2016"
  Medical, of $100k goal,57,Mary's Medical Treatment, 448,"3,450","
                        ,  FORT WAYNE, IN                    ","Created August 16, 2016"
  Charity," of $8,000 goal",6,Vineyard Bus, 96,240,"
                        ,  COTTAGE GROVE, MN                    ","Created August 16, 2016"
  Medical, of £300k goal,273,For our Beautiful Mum., 1.4K,"6,245","
                        ,  Nonsuch Ward, ENG                    ","Created August 9, 2016"
  Medical, of $25k goal,57,Trey O'Connor's Medical Expenses , 432,"5,200","
                        ,  PALM DESERT, CA                    ","Created August 15, 2016"
,,,Cycle Therapy Documentary ,,,,
  Medical, of $10k goal,57,Mad stork recovery fund , 457,"3,640","
                        ,  MASSAPEQUA, NY                    ","Created August 13, 2016"
  Medical," of $5,000 goal",65,Mahaj Brown God's Living Warrior , 502,"2,152","
                        ,  PHILADELPHIA, PA                    ","Created August 14, 2016"
  Medical, of $50k goal,58,Michelle Will Dance Again , 291,"9,077","
                        ,  LAWRENCEVILLE, GA                    ","Created July 21, 2016"
  Medical," of $2,000 goal",78,Marty's Get Well Fund, 371,"4,780","
                        ,  EUGENE, OR                    ","Created August 13, 2016"
  Sports," of $2,300 goal",5,Nifae to attend Pilbara NW Rep Team, 31,800,"
                        ,  South Hedland, WA                    ","Created August 15, 2016"
  Sports," of $1,500 goal",4,Invictus Games Competition, 112,175,"
                        ,  SAN ANTONIO, TX                    ","Created August 13, 2016"
,,,Brandi's Going to the Citrus Bowl!!,,,,
  Sports," of $5,000 goal",12,Help with 2016-2017 Season , 274,550,"
                        ,  AUSTIN, TX                    ","Created July 30, 2016"
  Sports, of $10k goal,93,Torrance Babe Ruth World Series, 987,"10,240","
                        ,  TORRANCE, CA                    ","Created July 31, 2016"
  Medical, of $15k goal,59,Help mom come home, 232,"5,435","
                        ,  EAST HAMPTON, NY                    ","Created August 16, 2016"
  Medical, of $50k goal,137,Mariusz Waliszewski Medical Fund, 604,"15,830","
                        ,  ASTORIA, NY                    ","Created August 12, 2016"
  Sports," of $5,000 goal",19,Michael's Spain Futbol Trip, 237,"2,115","
                        ,  SAINT LOUIS, MO                    ","Created July 29, 2016"
  Sports, of $50k goal,12,Kahanu Delovio's World Tour Race, 240,833,"
                        ,  KAILUA KONA, HI                    ","Created August 10, 2016"
  Animals," of $7,700 goal",94,Rescued Horses from Havasupai, 610,"7,605","
                        ,  NAPA, CA                    ","Created July 28, 2016"
  Animals," of $2,000 goal",23,Help Oliver get his surgery!, 63,970,"
                        ,  DECATUR, GA                    ","Created August 10, 2016"
  Sports," of $7,000 goal",11,Two Brooks Athletes Need Your Help, 311,915,"
                        ,  Brooks, AB                    ","Created August 12, 2016"
  Animals," of $1,600 goal",12,Help Dutch get surgery, 100,595,"
                        ,  OKLAHOMA CITY, OK                    ","Created August 16, 2016"
  Animals, of $250 goal,14,Delilah's Vet Care, 357,145,"
                        ,  Nanaimo, BC                    ","Created August 16, 2016"
  Animals," of $6,000 goal",45,Animal Lover Angels Needed, 256,"1,790","
                        ,  SALT LAKE CITY, UT                    ","Created August 13, 2016"
  Animals," of $4,000 goal",13,Samuel Needs Vet Care , 75,500,"
                        ,  NORTH PALM BEACH, FL                    ","Created August 12, 2016"
,,,Pal Needs Your Help!,,,,
,,,My dogs medical bills ,,,,
  Education," of $1,200 goal",16,Help Nafeesa get to Wolf Trap!, 104,900,"
                        ,  RICHMOND HILL, NY                    ","Created August 1, 2016"
,,,help me go to school out of state,,,,
  Education," of $5,000 goal",18,Bomba Kids School Fund, 113,"1,105","
                        ,  VAN NUYS, CA                    ","Created August 2, 2016"
,,,Mrs. Petty's Headset Fund,,,,
  Education, of $450 goal,12,Melrose High Drumline, 219,500,"
                        ,  MEMPHIS, TN                    ","Created July 31, 2016"
  Education, of €7.000 goal,52,Dance with Laura, 918,4.085,"
                        ,  20097 San Donato, Italy                    ","Created July 21, 2016"
  Animals, of $220k goal,13,Save Secret Passage Ranch, 219,"1,820","
                        ,  FORT VALLEY, VA                    ","Created August 15, 2016"
,,,"Diverse, Relevant Literature",,,,
  Memorials, of $10k goal,50,David J. Milne Lay To Rest Fund, 177,"4,550","
                        ,  ALGONQUIN, IL                    ","Created August 17, 2016"
  Memorials," of $5,000 goal",50,In Memory of Marc Mapes, 407,"4,700","
                        ,  WHITTIER, CA                    ","Created August 16, 2016"
  Memorials," of $5,000 goal",51,Funds For Cederius Home Going, 788,"1,870","
                        ,  ALEXANDRIA, LA                    ","Created August 16, 2016"
  Memorials," of $5,000 goal",51,Support for Kai Smith & Liz Sweet, 413,"3,555","
                        ,  CEDAR FALLS, IA                    ","Created August 15, 2016"
  Emergencies, of $10k goal,41,Peter & Krystles hOMe Fire Recovery, 181,"2,432","
                        ,  CARMEL, CA                    ","Created August 15, 2016"
  Memorials, of $20k goal,191,CJ Atcheson Memorial Fund, 1.1K,"14,785","
                        ,  LENEXA, KS                    ","Created August 12, 2016"
  Emergencies, of $10k goal,43,Zeringue Flood Relief, 145,"4,965","
                        ,  WASHINGTON, MO                    ","Created August 16, 2016"
  Memorials, of $10k goal,50,Funeral Expenses for Daryl Sloan, 326,"3,405","
                        ,  LOCUST GROVE, VA                    ","Created August 15, 2016"
  Emergencies," of $7,500 goal",41,Burke Family Flood Relief, 174,"4,025","
                        ,  LAFAYETTE, LA                    ","Created August 15, 2016"
,,,"Help a widow, vet and mom in need!",,,,
  Emergencies," of $5,000 goal",42,Toups Family Flood Assistance, 322,"4,775","
                        ,  DENHAM SPRINGS, LA                    ","Created August 15, 2016"
  Emergencies," of $5,000 goal",43,Help Karyn get back on her feet, 153,"3,350","
                        ,  OAKLAND, CA                    ","Created August 16, 2016"
  Emergencies, of $10k goal,42,Correctional Officer S. Baxter , 709,"1,825","
                        ,  WENONA, IL                    ","Created August 14, 2016"
  Emergencies, of $1.0M goal,61,Rebuilding Runnels, 921,"5,500","
                        ,  BATON ROUGE, LA                    ","Created August 13, 2016"
  Emergencies, of $20k goal,44,Derek and Samantha Flood Recovery, 454,"2,345","
                        ,  DENHAM SPRINGS, LA                    ","Created August 15, 2016"
  Emergencies, of $50k goal,44,Morel Family Flood Relief Fund, 156,"9,950","
                        ,  BONITA SPRINGS, FL                    ","Created August 15, 2016"
  Memorials," of $7,000 goal",50,In Loving Memory of Janine Polidori, 326,"2,385","
                        ,  FOX LAKE, IL                    ","Created August 15, 2016"
  Emergencies, of $15k goal,98,Help the Westmoreland's recover!, 542,"18,965","
                        ,  YOUNGSVILLE, LA                    ","Created August 13, 2016"
  Emergencies, of $20k goal,154,Coach Casey Friend's Flooded  House, 688,"13,930","
                        ,  LAFAYETTE, LA                    ","Created August 13, 2016"
  Emergencies," of $4,000 goal",53,Gwen's Louisiana Flood Relief Fund, 396,"2,905","
                        ,  Valley Glen,                     ","Created August 14, 2016"
  Emergencies," of $1,300 goal",44,Bring Moms Home, 107,"1,530","
                        ,  COLUMBUS, OH                    ","Created August 15, 2016"
  Emergencies," of $7,000 goal",51,Help Leslie Bourgeois, 80,"3,000","
                        ,  BATON ROUGE, LA                    ","Created August 14, 2016"
  Volunteer," of $2,000 goal",16,Alex Is Running For Green Party, 1.3K,385,"
                        ,  SALEM, OR                    ","Created August 2, 2016"
  Volunteer," of $1,200 goal",15,Emergency surgery for Hobbs, 144,"1,100","
                        ,  GRANGER, IN                    ","Created August 11, 2016"
  Volunteer," of £5,000 goal",20,Supporting entrepreneurs in Gaza, 111,755,"
                        ,  Sheffield, ENG                    ","Created August 8, 2016"
  Emergencies," of $5,000 goal",52,"Jon ""Lizard"" Lindstrom Med Bills", 345,"3,480","
                        ,  NORTH CA, OH                    ","Created August 14, 2016"
,,,Volunteer Trip to Everest,,,,
  Volunteer," of $3,000 goal",33,Support the MOVE Familys Conference, 718,"1,727","
                        ,  PHILADELPHIA, PA                    ","Created July 22, 2016"
  Volunteer," of $2,500 goal",4,Course in Guatemala, 40,"1,045","
                        ,  NEW BEDFORD, MA                    ","Created August 16, 2016"
,,,Love and Haiti: Our Medical Mission,,,,
,,,Hygiene packs for Syrian Refugees,,,,
  Animals," of $2,000 goal",13,Guido's Kidney Stone Medical Bills, 56,775,"
                        ,  Edmonton, AB                    ","Created August 15, 2016"
  Animals, of $10k goal,16, Animal Sanctuary In Need!!, 107,900,"
                        ,  TEMECULA, CA                    ","Created August 5, 2016"
  Volunteer," of £2,000 goal",42,Yvonne's Justice Mission , 56,"1,430","
                        ,  Chapel End Ward, ENG                    ","Created July 12, 2016"
  Animals," of $5,000 goal",13,Help Chance get medical assitance., 38,648,"
                        ,  CHULA VISTA, CA                    ","Created August 14, 2016"
  Animals, of $10k goal,13,Help SAVE Honcho needs Surgery ASAP, 150,270,"
                        ,  TUCKERTON, NJ                    ","Created August 16, 2016"
  Animals," of $1,500 goal",14,Kittens Vet Bill, 32,"1,005","
                        ,  CLEVELAND, OH                    ","Created August 15, 2016"
,,,cat medical bills and care,,,,
,,,Mr Pugmann's Eye Removal Campaign,,,,
  Animals, of $15k goal,56,Save the happiest dog park on earth, 198,"4,470","
                        ,  LA JOLLA, CA                    ","Created August 12, 2016"
  Animals," of $6,000 goal",14,Freya's Paws For Your Cause, 70,"1,450","
                        ,  BEND, OR                    ","Created August 15, 2016"
,,,Custard Cat's vets fee fund,,,,
  Sports, of $750 goal,4,Jose College Wrestling Tournament , 51,70,"
                        ,  LANCASTER, PA                    ","Created August 15, 2016"
  Sports," of $4,000 goal",24,Please help me make it to London, 121,"2,390","
                        ,  AUSTIN, TX                    ","Created July 26, 2016"
  Sports," of $4,000 goal",4,Toronto Bandits Senior BB uniforms, 44,195,"
                        ,  Toronto, ON                    ","Created August 15, 2016"
  Sports," of $3,500 goal",8,Quinn Jaxon Physique Competition, 246,340,"
                        ,  VALLEY VILLAGE, CA                    ","Created August 8, 2016"
,,,All-American Thanksgiving Parade,,,,
,,,KYYES SOFTBALL FUND / BULLETS 04,,,,
  Sports," of $2,500 goal",8,Pursuing Baseball Dreams, 71,780,"
                        ,  DENVER, CO                    ","Created August 10, 2016"
  Sports," of $4,683 goal",6,* YMOM Youth Football Program *, 82,740,"
                        ,  MILWAUKEE, WI                    ","Created July 14, 2016"
  Sports, of $19k goal,13, FOSS Brothers AAA Hockey Season!!!, 119,"1,195","
                        ,  MONUMENT, CO                    ","Created August 1, 2016"
  Education," of $3,000 goal",23,Road back to University of Michigan, 76,"1,185","
                        ,  DETROIT, MI                    ","Created August 11, 2016"
  Education, of €1.850 goal,8,Wess's fund for Hive Program! , 74,580,"
                        ,  München, BY, Germany                    ","Created August 15, 2016"
,,,Support OT Research in Ethiopia,,,,
  Education," of $6,750 goal",9,Tablets for History, 36,380,"
                        ,  NASHUA, NH                    ","Created August 3, 2016"
,,,Celebrating 'Cool' Women,,,,
,,,Tuition Lifesaver for Annalisa,,,,
  Education," of $4,400 goal",11,Walking to Terra Madre 2016, 67,726,"
                        ,  RANDOLPH, VT                    ","Created August 12, 2016"
  Education," of $2,500 goal",56,Scholarship Fund for Orphans, 135,"2,530","
                        ,  NEW YORK, NY                    ","Created July 16, 2016"
  Sports, of $350 goal,5,Dakoda's BYF Cheer Fund, 39,90,"
                        ,  BENICIA, CA                    ","Created August 13, 2016"
  Medical, of $15k goal,127,Hearts 4 Henderson : cancer fund, 1.0K,"14,445","
                        ,  DETROIT LAKES, MN                    ","Created August 13, 2016"
  Medical, of $75k goal,127,TJ's Medical/Living Expense Fund, 619,"8,235","
                        ,  TUCSON, AZ                    ","Created August 14, 2016"
,,,Sheldon Clark High School Oboe Fund,,,,
  Medical," of $7,643 goal",60,Stem Cell Surgery: Edie Salsa Freak, 183,"4,045","
                        ,  SEDALIA, CO                    ","Created August 15, 2016"
  Medical," of £5,000 goal",243,Smile Tristan! , 672,"9,041","
                        ,  Penge and Cator Ward, ENG                    ","Created July 24, 2016"
  Medical, of $10k goal,75,"Carole, Kent & Madeleine", 344,"6,000","
                        ,  Mississauga, ON                    ","Created August 14, 2016"
  Medical, of $15k goal,65,Jessica's Medical Fund, 326,"10,810","
                        ,  SEATTLE, WA                    ","Created August 13, 2016"
  Medical, of $10k goal,60,Alexis Rochefort's Cancer Fight, 152,"5,405","
                        ,  NEWBURYPORT, MA                    ","Created August 15, 2016"
  Medical, of $55k goal,61,RILEY STEINBACH'S RIDE FOR LIFE!, 553,"6,835","
                        ,  MANKATO, MN                    ","Created August 17, 2016"
  Medical, of $30k goal,61,Support Nicks FIGHT!!!, 95,"9,540","
                        ,  NEW YORK, NY                    ","Created August 17, 2016"
,,,The Bearing Project,,,,
  Charity," of $4,000 goal",36,Lellow Foundation , 131,"2,200","
                        ,  MISSOURI CITY, TX                    ","Created August 10, 2016"
  Charity, of $25k goal,25,Care For Africa Foundation , 473,"1,630","
                        ,  Launceston, TAS Australia                    ","Created July 28, 2016"
  Charity," of $2,000 goal",17,Eagle Scout: Community Garden Shed, 69,"1,120","
                        ,  FISHERS, IN                    ","Created August 8, 2016"
,,,MapleKey Shelters,,,,
  Charity," of $2,500 goal",34,Y.E.A. DAY BACK TO SCHOOL DRIVE , 96,"2,055","
                        ,  PHILADELPHIA, PA                    ","Created July 17, 2016"
  Charity, of $20k goal,48,La Ola Ministries Building Project, 183,"5,505","
                        ,  LAREDO, TX                    ","Created July 11, 2016"
  Charity," of £2,309 goal",112,Matt's Mammoth Mountain Challenge , 536,"2,409","
                        ,  Ketton, ENG                    ","Created July 13, 2016"
  Charity," of £1,000 goal",7,Help For The Homeless In Ipswich, 53,65,"
                        ,  Felixstowe, ENG                    ","Created August 2, 2016"
  Sports," of $5,000 goal",60,Marissa - Junior PanAms in Ecuador, 593,"3,470","
                        ,  Lively, ON                    ","Created July 18, 2016"
,,,Kendra's Skating Career,,,,
,,,New Uniforms & helmets!,,,,
,,,Help Fight Islamophobia,,,,
  Sports," of $8,000 goal",49,Stephanie Smith-World Championships, 70,"10,275","
                        ,  HATTIESBURG, MS                    ","Created July 17, 2016"
  Memorials, of $10k goal,55,Funeral Expenses for Marine Vet, 546,"4,580","
                        ,  LEVITTOWN, PA                    ","Created August 14, 2016"
  Memorials," of $8,000 goal",52,Help Bring Senti Home , 620,"2,420","
                        ,  AUBURN, CA                    ","Created August 14, 2016"
  Memorials, of $15k goal,68,Jessica Robert's Funeral Fund, 1.0K,"3,398","
                        ,  MANCHESTER, NH                    ","Created August 14, 2016"
  Memorials," of $3,000 goal",56,Isabellas memorial fund , 736,"3,170","
                        ,  NORFOLK, VA                    ","Created August 14, 2016"
  Memorials, of $10k goal,52,Smith Family, 1.4K,"3,680","
                        ,  HICKORY, NC                    ","Created August 15, 2016"
  Memorials," of $7,000 goal",53,Help Lay Emma to Rest, 753,"3,145","
                        ,  HENRYETTA, OK                    ","Created August 15, 2016"
  Memorials," of $6,200 goal",53,Fund for JayC, 172,"3,810","
                        ,  MOUNT AIRY, MD                    ","Created August 15, 2016"
  Memorials," of $6,000 goal",53,Ja-mir support, 1.1K,"2,080","
                        ,  PROVIDENCE, RI                    ","Created August 15, 2016"
  Memorials, of $10k goal,53,Funeral for Ethan Carpenter , 1.5K,"3,025","
                        ,  SHELBY, OH                    ","Created August 15, 2016"
  Charity," of $5,000 goal",7,RallyCap Sports Expansion Project, 57,"1,050","
                        ,  BOWLING GREEN, OH                    ","Created August 15, 2016"
  Memorials, of $10k goal,171,In Memory of Frank Galicia, 896,"10,530","
                        ,  SAN FRANCISCO, CA                    ","Created August 12, 2016"
  Charity, of €2.000 goal,143,Malin to Mizen for Marymount , 133,3.538,"
                        ,  T12TPF5                    ","Created July 20, 2016"
  Volunteer, of $800 goal,24,Kanga Secondary's Sports Fund, 111,945,"
                        ,  AMHERST, MA                    ","Created August 3, 2016"
,,,Volunteer work  in Thailand,,,,
  Volunteer, of $500 goal,4,Care Packages for Combat Veterans, 35,120,"
                        ,  HACKETTSTOWN, NJ                    ","Created August 14, 2016"
  Volunteer," of $7,000 goal",98,Barb&KnittedKnockers goes to Rwanda, 478,"4,780","
                        ,  BELLINGHAM, WA                    ","Created August 3, 2016"
  Animals," of $4,000 goal",14,Sammy's medical expenses , 84,540,"
                        ,  CASSELBERRY, FL                    ","Created August 14, 2016"
  Animals," of $5,000 goal",15,Paw-lease help Ethan, 53,225,"
                        ,  EAST BRUNSWICK, NJ                    ","Created August 17, 2016"
  Charity, of $20k goal,7,Waminda - The Big Move Project, 65,360,"
                        ,  Nowra, NSW                    ","Created August 17, 2016"
  Charity, of $15k goal,78,Saving Grace Rescue Relocation Fund, 415,"6,596","
                        ,  SAN FRANCISCO, CA                    ","Created July 18, 2016"
  Animals," of $7,000 goal",35,Gonzo's Chemotherapy, 53,882,"
                        ,  CLARENDON HILLS, IL                    ","Created August 7, 2016"
  Animals," of $2,750 goal",100,URGENT! Help RESCUED wild horses!, 856,"2,685","
                        ,  BERKELEY, CA                    ","Created July 19, 2016"
  Animals, of €900 goal,15,Cure for Kitty, 42,344,"
                        ,  Móstoles, M, Spain                    ","Created August 16, 2016"
  Charity," of $2,000 goal",7,Pack 241 Pinewood Derby Track, 64,235,"
                        ,  BLUFFTON, SC                    ","Created August 17, 2016"
  Animals," of $1,800 goal",15,Tiger Lilly needs your help, 87,565,"
                        ,  PANAMA CITY, FL                    ","Created August 15, 2016"
,,,Help save Hannibal from cancer.,,,,
  Animals," of $3,000 goal",16,Injured dog needs medical bill help, 61,675,"
                        ,  ENGLEWOOD, CO                    ","Created August 17, 2016"
